ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
4hH69Z2SGvKr702d2guLIt,0.609,0.753,6,-5.39,0,0.38,0.11,0,0.14,0.822,186.61,206889,4,2016,41
624i4hnLpZlRRKyZgFcMb5,0.435,0.966,5,-0.748,1,0.102,0.00254,0.678,0.697,0.0712,171.9,228859,4,2019,22
3UbeHBs0iikFjpZNiFvTom,0.355,0.823,2,-9.479,0,0.0581,0.0511,0.871,0.12,0.0797,136.005,298647,4,2018,18
7E6e5lZPJ5BgahnsJanAsP,0.575,0.589,7,-4.943,1,0.0601,0.136,0,0.0903,0.376,173.962,236600,4,2001,48
7GNm0ZYsg5lDiWcvltZZsT,0.569,0.984,6,-1.82,1,0.403,0.00262,0.000337,0.639,0.403,171.983,238605,4,2019,37
5FkThlcdNj73ES7OT15C86,0.52,0.909,10,-7.636,0,0.254,0.004,0.00556,0.317,0.234,132.953,390227,4,2010,15
7JAzcUsBRYEIEJTqaV4WGF,0.354,0.982,10,-1.692,1,0.101,0.0403,1.30E-05,0.157,0.0698,151.984,233684,4,2018,18
379iLUtbe9RsHHxq5EXgQW,0.506,0.919,4,-7.162,0,0.0406,0.0116,0.721,0.285,0.267,140.037,212611,4,2020,3
0qJeyYAgv6UpvewUxRXAhb,0.874,0.443,5,-9.628,0,0.241,0.147,0,0.124,0.298,118.004,235988,4,2020,35
3SL3GG9Bs7m1s9aqhjCeIa,0.884,0.807,9,-6.781,0,0.31,0.0607,0.00301,0.0949,0.357,185.944,282667,4,1995,52
6KlohJHZAuPVKHWsVQDUJC,0.521,0.822,9,-6.291,0,0.0482,0.0524,0.787,0.181,0.142,150.048,331200,4,2012,29
0320Znq32w8HZjo8tMQjBI,0.832,0.57,6,-10.369,1,0.299,0.743,0.000441,0.129,0.729,139.948,73759,4,2017,43
3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,203.912,219947,4,2019,80
2N9j1I0sUnjcgXoglHhrPx,0.452,0.734,7,-11.616,1,0.0609,0.000179,0.892,0.472,0.0629,137.96,208207,4,2017,2
5UFRg78YQses7V23oueqc6,0.807,0.908,1,-7.38,1,0.0927,0.000581,0.914,0.0605,0.641,125.993,370875,4,2019,6
6OcaaMjrfG1Mkd3qSKevTC,0.775,0.739,7,-13.584,1,0.0649,0.0266,0.889,0.108,0.158,134.013,320659,4,2019,2
2BwTTHpaBZ9DuARYrIccyh,0.285,0.329,8,-12.212,1,0.0446,0.526,0.0205,0.158,0.148,159.409,376061,3,2020,56
0sJit7dKiCcgkNfK4ts0D9,0.894,0.459,1,-6.558,1,0.4,0.163,0,0.218,0.517,162.112,132187,4,2020,45
6m5WyA5fWUnoVLMQ6YgqDf,0.596,0.794,10,-5.565,1,0.0431,0.00437,0.000597,0.116,0.344,140.915,140426,4,2017,32
0bUPotyedtDHBugIZyveMG,0.577,0.84,11,-4.941,0,0.0428,0.00031,0.682,0.293,0.463,141.009,245106,4,2020,24
5PX4uS1LqlWEPL69phPVQQ,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,4,2012,76
1IDQQo4AbWYgwbxESIn5xZ,0.731,0.813,6,-7.366,0,0.065,0.00439,3.50E-06,0.26,0.497,130.028,208920,4,2009,32
6tRFkzcnXn1xOCbrwBHOkc,0.713,0.879,8,-6.913,1,0.0421,0.000161,0.35,0.0555,0.48,125.988,233028,4,2018,23
4rq4QIheTUzK7WeW5ZBnMj,0.801,0.961,9,-6.257,1,0.0406,8.18E-05,0.911,0.0543,0.962,125,376320,4,2018,17
6YD2xrb8QZniEDTtui3ZCd,0.899,0.742,8,-5.263,1,0.082,0.00424,0.0257,0.161,0.527,145.989,107389,4,2019,37
5hs9t1kp6iQdiP6VTiJztS,0.605,0.871,11,-10.578,0,0.0481,0.0122,0.454,0.249,0.583,121.007,431637,4,2014,34
7022xokeCJFSeZxw2npVkn,0.845,0.304,10,-16.441,1,0.195,0.371,0,0.112,0.413,180.02,282667,4,2017,68
4IYyJyG4Q9yaYCb6fsuSqK,0.42,0.984,7,-6.424,1,0.0569,5.09E-05,0.944,0.382,0.447,140.032,204022,4,2013,19
3IB0MGTe6xTQn7HW8OLzag,0.725,0.547,0,-7.162,1,0.0372,0.0445,0.396,0.204,0.276,136.021,213577,4,2019,1
2aSMpkN4J6kzgGki14qqmx,0.684,0.855,1,-9.676,1,0.0501,0.177,0.861,0.0819,0.36,121.999,296066,4,2019,28
4XnjPTtMivM4TQc1Y167ao,0.685,0.713,10,-6.695,0,0.203,0.0989,0,0.262,0.691,151.973,205669,4,2016,40
61ETloLtIoQApPPdBaA7PU,0.596,0.938,11,-2.155,1,0.131,0.00407,0.00697,0.132,0.552,150.058,188800,4,2018,23
764OUqC5YJuYJ9wazz9LtP,0.757,0.579,4,-9.174,0,0.0655,0.0877,0,0.104,0.537,160.07,141854,4,2018,46
01LZckadFsTkhvrNCcVJfg,0.451,0.939,2,-8.862,1,0.0705,0.0351,0.672,0.316,0.0694,193.808,121237,4,2016,4
0yKxMlao5Cj4Yrm03vVKst,0.59,0.864,11,-5.939,1,0.0455,0.216,0.166,0.119,0.0873,135.025,208681,4,2019,8
2v970m12AKZkFSEno9TPzt,0.854,0.68,11,-5.713,0,0.329,0.0296,0,0.596,0.815,129.918,179592,4,2019,41
3d8QQbKHBjwP6HoCLuVYd5,0.8,0.886,2,-5.788,1,0.0611,0.000267,0.668,0.0777,0.379,127.002,362835,4,2019,25
0LzZvOGYgBxFBFq7UCCphY,0.663,0.782,8,-8.193,1,0.0516,0.00106,0.831,0.15,0.0445,128.008,544153,4,2019,8
59PB0qzTwjxrSxVxknnuAP,0.715,0.685,8,-7.706,1,0.356,0.0537,0,0.101,0.617,169.818,192027,4,1994,24
1UJYdE9G0NNjJ6N3wzjoIQ,0.802,0.664,0,-8.031,1,0.0427,0.000284,0.876,0.073,0.412,125.004,222720,4,2017,13
6vHSV7voDvLHU4kMmyd5zj,0.486,0.865,11,-7.999,0,0.047,0.00107,0.313,0.318,0.0975,134.002,188060,4,2018,13
5FuQfnCsAtpoD4D97QYDHs,0.528,0.981,5,-2.874,0,0.179,0.0013,0.711,0.159,0.236,150.063,268800,4,2018,12
3W3VPn73PGZlzawncoLuFq,0.381,0.997,1,-3.865,1,0.0519,2.63E-05,0.895,0.263,0.0614,140.021,178286,4,2019,18
5FzuDFYmUFcvjraadJXv28,0.566,0.954,6,-4.678,1,0.0376,0.00411,0.0257,0.0943,0.887,125.967,155250,4,2019,57
54U0kh2xXLPoGT9WZrO5U4,0.364,0.92,5,-6.584,0,0.0687,0.00768,0.0738,0.378,0.163,149.895,192812,4,2015,19
4ogSrjoXAU0z2GOnr0Z4PW,0.595,0.537,8,-8.427,1,0.0385,0.165,0.0181,0.0959,0.148,109.987,155498,4,2017,46
6yImW5vfQJSvj04yBFsF9w,0.856,0.729,7,-7.035,1,0.18,0.0564,0,0.148,0.548,124.953,145945,4,2020,37
5dTHtzHFPyi8TlTtzoz1J9,0.356,0.96,4,-3.487,1,0.104,0.0142,0,0.209,0.0857,125.921,204733,4,2004,74
67cpn8ZBO7QU67jky8Fh47,0.949,0.425,5,-7.393,1,0.224,0.0295,0,0.106,0.621,124.927,135023,4,2019,59
48cbRJBRDoGNJLozET9YGw,0.483,0.297,5,-16.015,0,0.0326,0.712,0.937,0.104,0.0357,134.997,213333,4,2018,35
450i5pA9x18RiXiK4WCvpS,0.698,0.867,5,-5.206,1,0.269,0.241,0.45,0.109,0.222,148.863,192980,4,2020,54
34th6A2OrWAwP8nmrdC1yx,0.735,0.848,7,-8.865,1,0.0478,9.22E-05,0.915,0.104,0.039,130,344398,4,2017,20
4IPoUiHysPFywM2rYQNowb,0.601,0.728,1,-5.397,1,0.0514,0.00197,1.68E-05,0.251,0.232,160,90475,4,2020,50
4pmU8AtVu9qU40Xd9zjEfA,0.538,0.889,7,-3.586,1,0.0596,0.00704,0,0.312,0.696,133.044,169027,4,2005,61
09kvhnq2ONdNo4NRtHBSvv,0.78,0.748,11,-7.394,0,0.0352,0.00448,0.000591,0.115,0.0659,125.974,167680,4,2015,2
0y2G3m2gXpte9JoC0EQzHv,0.62,0.96,7,-5.264,1,0.06,0.00014,0.813,0.112,0.21,140.011,454286,4,2018,28
2hZyxTSocGSH3jm2f5bTED,0.501,0.189,2,-11.54,1,0.0374,0.967,0.000828,0.0717,0.381,124.189,242587,4,2013,37
2m9oMX34OOMKxxkWhyRd1b,0.366,0.933,8,-3.826,0,0.0982,0.0221,0.00194,0.176,0.324,173.994,240733,4,2017,38
7jM2ZiHSqn81wLygEJKpr5,0.756,0.946,2,-3.215,1,0.259,0.0464,0,0.106,0.536,179.098,125047,4,2020,37
7aUyoBq5hL3qbLgM1KE2ro,0.705,0.787,3,-7.193,0,0.249,0.311,0,0.369,0.812,194.222,170722,4,2015,38
3GSUY1Vigkx8qiU7UD5WSt,0.5,0.941,6,-6.472,0,0.0436,0.000838,0.905,0.627,0.394,145.009,486621,4,2019,12
7LSeWqAHZ1Ajzp855HBRcS,0.641,0.948,6,-5.776,1,0.041,1.69E-05,0.843,0.333,0.0668,147.005,425915,4,2012,1
20ZYayjgPNyQ9rGQ30rCX7,0.823,0.65,2,-9.798,1,0.351,0.23,0,0.143,0.501,144.995,128520,4,2019,44
7HXiOQR7NS1Md4GbFnAQSC,0.547,0.829,7,-7.196,0,0.0363,0.00337,0.00129,0.316,0.0955,135.96,205930,4,2016,12
7D8FObvhT4xSWUDfq6tUIa,0.506,0.833,8,-5.167,0,0.135,0.00589,0,0.244,0.199,190.016,209684,4,2016,39
3oCJJksC12uFxkt3RQ7rbV,0.83,0.577,4,-5.156,0,0.256,0.0178,8.15E-05,0.0436,0.63,185.946,179653,4,2018,9
1Ybma6nrDvFhn8zMokT7i4,0.323,0.717,0,-0.151,1,0.197,0.00214,0.00988,0.328,0.285,145.792,172800,4,2019,22
4tJuE3DkooytN4I05YzyTr,0.758,0.885,7,-6.102,1,0.0707,0.000357,0.0058,0.124,0.711,123.016,153171,4,2019,48
5EYFbQDpkmAEu4FOh8AlV9,0.511,0.94,2,-4.57,1,0.0757,0.00381,0.888,0.109,0.178,150.017,224000,4,2019,34
7cgEdKhf95s7eDcbZp3QVs,0.518,0.847,4,-4.515,0,0.219,0.0106,0,0.261,0.525,162.931,136564,4,2019,26
5IiAyglj5Uvs9Jrl4Q3TdP,0.778,0.419,0,-10.313,0,0.148,0.0436,0.000123,0.132,0.167,148.065,156085,5,2020,6
